1;Ropa para dama;1;ropa-para-dama;0
2;Ropa para hombre;1;ropa-para-hombre;0
3;Ropa deportiva;1;ropa-deportiva;0
4;Ropa infantil;1;ropa-infantil;0
5;Calzado para dama;2;calzado-para-dama;0
6;Calzado para hombre;2;calzado-para-hombre;0
7;Calzado deportivo;2;calzado-deportivo;0
8;Calzado infantil;2;calzado-infantil;0
9;Bolsos;3;bolsos;0
10;Reloges;3;reloges;0
11;Pulseras;3;pulseras;0
12;Collares;3;collares;0
13;Gafas de sol;3;gafas-de-sol;0
14;Teléfonos Móvil;4;teléfonos-movil;0
15;Tabletas Electrónicas;4;tabletas-electronicas;0
16;Computadoras;4;computadoras;0
17;Auriculares;4;auriculares;0
18;Desarrollo Web;5;desarrollo-web;0
19;Aplicaciones Móviles;5;aplicaciones-moviles;0
20;Diseño Gráfico;5;diseño-grafico;0
21;Marketing Digital;5;marketing-digital;0
